Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,DATEofReport,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
1525 ALBENGA AV,,07000101,1,VAB,VANDALISM TO VEHICLE,07U,2007-01-04,2007-01-03,1600,2007-01-04,1600,109,891786.45900000003,502485.90500000003,,
1111 MEMORIAL DR,,07000110,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,2007-01-04,2007-01-04,1627,2007-01-04,1627,,,,,
5665 PONCE DE LEON BLVD,BLK,07000120,2,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,2007-01-05,2007-01-05,0101,2007-01-05,0.042,,,,891951.060,502352.380
5665 PONCE DE LEON BLVD,BLK,07000120,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,2007-01-05,2007-01-05,0101,2007-01-05,0.042,,,,893603.060,505267.690
1200 STANFORD DR,,07000131,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2007-01-05,2007-01-05,1501,2007-01-05,1501,,,,894951.380,503904.940
5600 PONCE DE LEON BLVD,BLK,07000142,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,2007-01-06,2007-01-06,0119,2007-01-06,0.054,,,,891669.870,502097.840
5821 SAN AMARO DR,,07000273,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2007-01-11,2007-01-11,1400,2007-01-11,1400,,,,892151.250,502788.340
1239 THEO DICKINSON DR,,07000317,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,2007-01-13,2007-01-13,0258,2007-01-13,0258,,,,893202.500,503207.000
1565 LIGURIA AV,,07000318,1,ZOJ,BAKER / MARCHMAN ACT,07U,2007-01-13,2007-01-13,0150,2007-01-13,0.076,106,891560.51199999999,502214.28499999997,892158.500,502114.460
6000 SAN AMARO DR,,07000319,1,ZOA,TRESPASS WARNING,07U,2007-01-13,2007-01-13,0151,2007-01-13,0.077,,,,891629.500,502075.590
