Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,DATEofReport,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
5200 UNIVERSITY DR,,09000015,1,ZOA,TRESPASS WARNING,07U,2009-01-01,2009-01-01,1615,2009-01-01,1615,26,894776.12800000003,505230.76899999997,,
1241 THEO DICKINSON DR,,09000053,1,ZOA,TRESPASS WARNING,07U,2009-01-03,2009-01-03,1310,2009-01-03,1310,81,892858.31700000004,503002.52299999999,,
1300 THEO DICKINSON DR,,09000072,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2009-01-04,2009-01-04,0101,2009-01-04,0101,90,893194.61100000003,502210.72700000001,,
5200 CARILLO ST,BLK,09000129,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2009-01-06,2009-01-06,1506,2009-01-06,1506,,,,,
1239 THEO DICKINSON DR,,09000160,1,FDD,FD SICK/INJURED PERSON,07U,2009-01-07,2009-01-07,1450,2009-01-07,1450,,,,,
5801 SAN AMARO DR,,09000166,1,THC,THEFT FROM MOTOR VEHICLE,07U,2009-01-07,2009-01-07,1605,2009-01-07,1605,,,,,
1365 MEMORIAL DR,,09000182,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2009-01-08,2009-01-08,1210,2009-01-08,1210,,,,,
1550 BRESCIA AV,,09000191,1,THL,THEFT FROM UNSECURED CONSTRUCTION SITE,07U,2009-01-08,2009-01-08,0900,2009-01-08,0900,97,891684.67799999996,501443.87400000001,,
5665 PONCE DE LEON BLVD,,09000204,1,ZOA,TRESPASS WARNING,07U,2009-01-09,2009-01-09,0129,2009-01-09,0129,,,,,
5200 UNIVERSITY DR,,09000219,1,PRC,PROPERTY DAMAGED,07U,2009-01-09,2009-01-09,1135,2009-01-09,1135,26,894776.12800000003,505230.76899999997,,
1575 LIGURIA AV,,09000236,1,VAC,VANDALISM TO PROPERTY,07U,2009-01-10,2009-01-10,0009,2009-01-10,0009,105,891500.13199999998,502206.99300000002,,
1301 STANFORD DR,,09000237,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2009-01-10,2009-01-09,1115,2009-01-10,1115,50,894666.745,504343.22399999999,,
1306 STANFORD DR,,09000269,1,FDD,FD SICK/INJURED PERSON,07U,2009-01-11,2009-01-10,1700,2009-01-11,1700,31,893821.40300000005,504487.02600000001,,
1221 WILLIAM E WALSH AV,43E,09000289,1,TVE,THEFT OF BICYCLE,07U,2009-01-12,2009-01-12,1400,2009-01-12,1400,60,893899.23800000001,503195.21100000001,,
6201 SAN AMARO DR,,09000295,1,XOT,TRESPASSING,07U,2009-01-13,2009-01-13,0029,2009-01-13,0029,,,,,
1245 DAUER DR,,09000297,1,SCA,SIMPLE BATTERY,07U,2009-01-13,2009-01-13,0743,2009-01-13,0743,65,893424.071,502854.73300000001,,
1241 THEO DICKINSON DR,,09000313,1,THC,THEFT FROM MOTOR VEHICLE,07U,2009-01-13,2009-01-13,1100,2009-01-13,1100,81,892858.31700000004,503002.52299999999,,
1241 THEO DICKINSON DR,,09000313,2,ZOA,TRESPASS WARNING,07U,2009-01-13,2009-01-13,1100,2009-01-13,1100,81,892858.31700000004,503002.52299999999,,
1303 STANFORD DR,,09000372,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2009-01-15,2009-01-15,0905,2009-01-15,0905,43,894817.86600000004,504665.10800000001,,
1500 LIGURIA AV,BLK,09000367,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2009-01-15,2009-01-15,0055,2009-01-15,0055,,,,,
1245 DAUER DR,,09000398,1,VAC,VANDALISM TO PROPERTY,07U,2009-01-16,2009-01-16,0030,2009-01-16,0030,65,893424.071,502854.73300000001,,
1239 THEO DICKINSON DR,,09000416,1,DRH,DRUG OTHER VIOLATION,07U,2009-01-16,2009-01-16,1940,2009-01-16,1940,,,,,
1239 THEO DICKINSON DR,,09000416,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2009-01-16,2009-01-16,1940,2009-01-16,1940,,,,,
1239 THEO DICKINSON DR,,09000416,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2009-01-16,2009-01-16,1940,2009-01-16,1940,,,,,
1101 STANFORD DR,557,09000427,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2009-01-17,2009-01-17,0210,2009-01-17,0210,,,,,
1306 STANFORD DR,,09000439,1,PRB,PROPERTY LOST,07U,2009-01-17,2009-01-17,1400,2009-01-17,1400,31,893821.40300000005,504487.02600000001,,
5800 PONCE DE LEON BLVD,,09000453,1,ZOA,TRESPASS WARNING,07U,2009-01-17,2009-01-17,2339,2009-01-17,2339,,,,,
1306 STANFORD DR,,09000474,1,ZOA,TRESPASS WARNING,07U,2009-01-19,2009-01-19,1408,2009-01-19,1408,31,893821.40300000005,504487.02600000001,,
1111 MEMORIAL DR,,09000507,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2009-01-20,2009-01-20,1105,2009-01-20,1105,18,894105.66599999997,505505.27299999999,,
5100 BRUNSON DRIVE,,09000513,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2009-01-20,2009-01-20,1518,2009-01-20,1518,,,,,
1239 THEO DICKINSON DR,RT1019,09000511,1,FRD,FRAUD BY CREDIT CARD / ATM,07U,2009-01-20,2009-01-15,0800,2009-01-16,0800,,,,,
1101 STANFORD DR,743,09000518,1,BUA,BURGLARY RESIDENTIAL,07U,2009-01-20,2009-01-20,1645,2009-01-20,1645,,,,,
1101 STANFORD DR,743,09000518,2,THM,THEFT FROM BURGLARY,07U,2009-01-20,2009-01-20,1645,2009-01-20,1645,,,,,
