address,apt,case,primary_offense,offense_code,offense,tract,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
1520 LIGURIA AV,,11000040,1,BUA,BURGLARY RESIDENTIAL,07U,2011-01-03,2011-01-03,1900,2010-12-28,2200,385,891902.84400000004,502168.55800000002
1520 LIGURIA AV,,11000040,2,THM,THEFT FROM BURGLARY,07U,2011-01-03,2011-01-03,1900,2010-12-28,2200,385,891902.84400000004,502168.55800000002
1300 STANFORD DR,BLK,11000045,1,FDD,FD SICK/INJURED PERSON,07U,2011-01-03,2011-01-03,1810,1101-01-03,1810,433,894300.18400000001,504348.26199999999
6000 SAN AMARO DR,,11000057,1,THC,THEFT FROM MOTOR VEHICLE,07U,2011-01-04,2011-01-04,1000,1101-01-04,1135,419,892135.44499999995,502061.07400000002
5202 UNIVERSITY DR,,11000127,1,BUB,BURGLARY NON-RESIDENTIAL,07U,2011-01-06,2011-01-06,1932,1101-01-06,1130,27,894455.40899999999,504947.43699999998
1241 DICKINSON DR,,11000132,1,FDD,FD SICK/INJURED PERSON,07U,2011-01-06,2011-01-06,2050,1102-01-06,2050,81,892858.31700000004,503002.52299999999
5900 SAN AMARO DR,,11000151,1,TVA,THEFT OF AUTOMOBILE,07U,2011-01-07,2011-01-07,1200,1101-01-07,1320,416,891901.80700000003,502330.61099999998
1599 BRESCIA AV/RED RD,,11000184,1,VEL,VEHICLE TRAFFIC CRASH,07U,2011-01-08,2011-01-08,0000,1100-01-08,0000,,,
5801 PONCE DE LEON BLVD,,11000192,1,VAC,VANDALISM TO PROPERTY,07U,2011-01-09,2011-01-09,2345,1100-01-09,0000,51,895056.26599999995,503786.853
5202 UNIVERSITY DR,102,11000231,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2011-01-11,2011-01-11,0945,1101-01-11,1016,27,894455.40899999999,504947.43699999998
1299 DICKINSON DR/PONCE DE LEON BLVD,,11000253,1,ZOA,TRESPASS WARNING,07U,2011-01-12,2011-01-12,,1101-01-12,1305,662,893271.07400000002,502092.99200000003
1231 DICKINSON DR,,11000270,1,ZOD,INCIDENT REPORT,07U,2011-01-12,2011-01-12,,1102-01-12,2224,72,893156.39199999999,503434.00900000002
1535 LEVANTE AV,,11000287,1,VEL,VEHICLE TRAFFIC CRASH,07U,2011-01-13,2011-01-13,,1100-01-13,0000,,,
5401 PONCE DE LEON BLVD,,11000302,1,ZOM,INTOXICATED PERSON,07U,2011-01-14,2011-01-14,,1100-01-14,0240,51,895056.26599999995,503786.853
1231 DICKINSON DR,PT519,11000323,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-14,2011-01-14,,1102-01-14,2000,71,893300.82700000005,503382.65600000002
1239 DICKINSON DR,WT 803,11000328,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-15,2011-01-15,2300,1102-01-14,2340,75,892755.73499999999,503357.43699999998
1101 STANFORD DR,,11000345,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-15,2011-01-15,1556,2010-01-15,1605,129,895055.79700000002,504146.53700000001
5616 PAVIA ST,,11000366,1,THC,THEFT FROM MOTOR VEHICLE,07U,2011-01-16,2011-01-16,1413,2011-01-16,1542,54,894485.30200000003,503768.17499999999
1200 DICKINSON DR,BLK,11000373,1,AGD,AGGRAVATED BATTERY,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1200 DICKINSON DR,BLK,11000373,2,DCC,DISORDERLY INTOXICATION,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1200 DICKINSON DR,BLK,11000373,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1200 DICKINSON DR,BLK,11000373,2,ZOM,INTOXICATED PERSON,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1200 DICKINSON DR,BLK,11000373,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1200 DICKINSON DR,BLK,11000373,2,ZOA,TRESPASS WARNING,07U,2011-01-17,2011-01-17,0210,2011-01-17,0220,250,893858.34400000004,503792.57199999999
1239 DICKINSON DR,W1007,11000389,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-17,2011-01-17,1920,2011-01-17,1920,74,892974.25199999998,503706.15500000003
1100 STANFORD DR,BLK,11000390,1,FDD,FD SICK/INJURED PERSON,07U,2011-01-17,2011-01-17,2055,2011-01-17,2111,51,895056.26599999995,503786.853
1231 DICKINSON DR,PT518,11000393,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-18,2011-01-18,0130,2011-01-18,0200,72,893156.39199999999,503434.00900000002
6499 RED RD/LEVANTE AV,,11000401,1,ZZZ,VOID (RECORDS USE ONLY),07U,2011-01-18,2011-01-18,0000,2011-01-18,0000,,,
1211 DICKINSON DR,,11000415,1,ZZZ,VOID (RECORDS USE ONLY),07U,2011-01-18,2011-01-18,0000,2011-01-18,0000,,,
1211 DICKINSON DR,,11000416,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-18,2011-01-18,1401,2011-01-18,1401,250,893858.34400000004,503792.57199999999
1211 DICKINSON DR,,11000416,2,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2011-01-18,2011-01-18,1401,2011-01-18,1401,250,893858.34400000004,503792.57199999999
1211 DICKINSON DR,,11000417,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2011-01-18,2011-01-18,1419,2011-01-18,1419,250,893858.34400000004,503792.57199999999
1211 DICKINSON DR,,11000417,2,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2011-01-18,2011-01-18,1419,2011-01-18,1419,250,893858.34400000004,503792.57199999999
5183 PONCE DE LEON BLVD,,11000431,1,THC,THEFT FROM MOTOR VEHICLE,07U,2011-01-19,2011-01-19,2300,2011-01-18,2226,49,895569.78700000001,504323.94
6299 SAN AMARO DR,,11000432,1,ZOJ,BAKER / MARCHMAN ACT,07U,2011-01-19,2011-01-19,0300,2011-01-19,0300,331,892375.69900000002,501281.36800000002
6299 SAN AMARO DR,,11000432,2,FAL,FAMILY MISSING PERSON RECOVERY,07U,2011-01-19,2011-01-19,0300,2011-01-19,0300,331,892375.69900000002,501281.36800000002
1300 CAMPO SANO AV,BLK,11000435,1,VEL,VEHICLE TRAFFIC CRASH,07U,2011-01-19,2011-01-19,0000,2011-01-19,0000,,,
1244 STANFORD DR,,11000439,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2011-01-19,2011-01-19,0850,2011-01-19,1050,576,894923.08200000005,504406.57400000002
1400 MILLER RD,BLK,11000443,1,VEL,VEHICLE TRAFFIC CRASH,07U,2011-01-19,2011-01-19,0000,2011-01-19,0000,,,
1223 DICKINSON DR,48D,11000444,1,ZOE,SUSPICIOUS INCIDENT,07U,2011-01-19,2011-01-19,2145,2011-01-19,1000,69,893474.83100000001,503511.23499999999
1239 DICKINSON DR,,11000446,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2011-01-19,2011-01-19,1745,2011-01-19,1217,76,892865.95600000001,503580.26199999999
5362 SAN AMARO DR/MILLER DR,,11000447,1,ZZZ,VOID (RECORDS USE ONLY),07U,2011-01-19,2011-01-19,0000,2011-01-19,0000,,,
5615 PAVIA ST,,11000448,1,ZZZ,VOID (RECORDS USE ONLY),07U,2011-01-19,2011-01-19,0000,2011-01-19,0000,,,
5615 PAVIA ST,,11000450,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2011-01-19,2011-01-19,0000,2011-01-19,0000,,,
5185 PONCE DE LEON BLVD,,11000452,1,THC,THEFT FROM MOTOR VEHICLE,07U,2011-01-20,2011-01-20,2330,2011-01-19,1600,49,895569.78700000001,504323.94
1100 STANFORD DR,BLK,11000456,1,PRB,PROPERTY LOST,07U,2011-01-19,2011-01-19,2055,2011-01-18,1333,51,895056.26599999995,503786.853
