Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,DATEofReport,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
1300 STANFORD DR,BLK,10000081,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2010-01-05,2010-01-05,1428,2010-01-05,1428,,,,,
1245 DAUER DR,,10000084,1,ZOA,TRESPASS WARNING,07U,2010-01-05,2010-01-05,1432,2010-01-05,1432,,,,,
1101 STANFORD DR,,10000086,1,PRB,PROPERTY LOST,07U,2010-01-05,2010-01-04,0030,2010-01-04,0030,,,,,
1300 MEMORIAL DR,,10000258,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,2010-01-12,2010-01-12,1130,2010-01-12,1130,16,893634.74199999997,505003.36800000002,,
1231 THEO DICKINSON DR,,10000276,2,DIA,DISTURBANCE DOMESTIC,07U,2010-01-12,2010-01-12,1907,2010-01-12,1907,820,892813.34900000005,503490.46600000001,,
1231 THEO DICKINSON DR,,10000276,1,ROD,ROBBERY STRONGARM,07U,2010-01-12,2010-01-12,1907,2010-01-12,1907,820,892813.34900000005,503490.46600000001,,
1231 THEO DICKINSON DR,,10000276,2,ZOA,TRESPASS WARNING,07U,2010-01-12,2010-01-12,1907,2010-01-12,1907,820,892813.34900000005,503490.46600000001,,
1241 THEO DICKINSON DR,,10000310,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2010-01-13,2010-01-13,1700,2010-01-13,1700,81,892858.31700000004,503002.52299999999,,
1241 THEO DICKINSON DR,,10000310,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2010-01-13,2010-01-13,1700,2010-01-13,1700,81,892858.31700000004,503002.52299999999,,
1231 THEO DICKINSON DR,PT 806,10000312,1,BUA,BURGLARY RESIDENTIAL,07U,2010-01-13,2010-01-12,2230,2010-01-13,2230,71,893300.82700000005,503382.65600000002,,
1231 THEO DICKINSON DR,PT 806,10000312,2,THM,THEFT FROM BURGLARY,07U,2010-01-13,2010-01-12,2230,2010-01-13,2230,71,893300.82700000005,503382.65600000002,,
1111 MEMORIAL DR,,10000314,1,THK,THEFT OTHER,07U,2010-01-14,2010-01-08,0730,2010-01-14,0730,18,894105.66599999997,505505.27299999999,,
1111 MEMORIAL DR,,10000314,2,ZOA,TRESPASS WARNING,07U,2010-01-14,2010-01-08,0730,2010-01-14,0730,18,894105.66599999997,505505.27299999999,,
5401 PONCE DE LEON BLVD,,10000337,1,FDD,FD SICK/INJURED PERSON,07U,2010-01-14,2010-01-14,1840,2010-01-14,1840,51,895056.26599999995,503786.853,,
1101 STANFORD DR,,10000339,1,ZOA,TRESPASS WARNING,07U,2010-01-14,2010-01-14,1925,2010-01-14,1925,950,893980.46200000006,502555.98499999999,,
1203 WILLIAM E WALSH AV,,10000342,1,DIB,DISTURBANCE OTHER,07U,2010-01-14,2010-01-14,2028,2010-01-14,2028,58,894141.21200000006,503428.23700000002,,
1203 WILLIAM E WALSH AV,,10000342,2,FDD,FD SICK/INJURED PERSON,07U,2010-01-14,2010-01-14,2028,2010-01-14,2028,58,894141.21200000006,503428.23700000002,,
1241 THEO DICKINSON DR,,10000366,2,FRL,FRAUD OTHER JURISDICTION,07U,2010-01-15,2010-01-15,1430,2010-01-15,1430,81,892858.31700000004,503002.52299999999,,
1241 THEO DICKINSON DR,,10000366,1,THC,THEFT FROM MOTOR VEHICLE,07U,2010-01-15,2010-01-15,1430,2010-01-15,1430,81,892858.31700000004,503002.52299999999,,
1241 THEO DICKINSON DR,,10000366,1,ZOA,TRESPASS WARNING,07U,2010-01-15,2010-01-15,1430,2010-01-15,1430,81,892858.31700000004,503002.52299999999,,
1241 THEO DICKINSON DR,,10000366,2,ZOA,TRESPASS WARNING,07U,2010-01-15,2010-01-15,1430,2010-01-15,1430,81,892858.31700000004,503002.52299999999,,
5030 BRUNSON DR,,10000364,1,THB,THEFT OF AUTO PART / ACCESSORY,07U,2010-01-15,2010-01-13,0835,2010-01-13,0835,19,894255.06599999999,505594.31900000002,,
1241 THEO DICKINSON DR,,10000407,1,THC,THEFT FROM MOTOR VEHICLE,07U,2010-01-17,2010-01-17,0100,2010-01-17,0100,81,892858.31700000004,503002.52299999999,,
